GENE	RNAseH-Rep1	RNAseH-Rep2	RNAseH-Rep3	PolyA-Rep3	RZ-Rep1	RZ-Rep2	RZ-Rep3
FBgn0052564		0.058647	0.0597447	0.0601925	0.041782	0	0.0448636	0
FBgn0038523		0	0	0	0	0	0	0
FBgn0020248		125.308	159.826	153.044	107.966	141.634	154.154	159.184
FBgn0038524		36.7351	39.1926	38.1948	43.3132	38.906	42.5982	42.1071
FBgn0034649		15.3481	15.028	16.5214	20.4834	12.4115	14.4587	13.4909
FBgn0020249		92.9879	93.7469	87.0595	90.5527	82.4755	83.4513	84.1302
FBgn0038525		0	0	0	0	0	0	0
FBgn0038526		0	0	0	0	0	0	0
FBgn0017590		0.0569893	0.019352	0.0779882	0.0270674	0.0616315	0.0581273	0.051774
FBgn0052568		0.407089	0.779563	0.649938	0.0644497	0.413468	0.553625	0.595894
FBgn0038527		0	0	0	0	0	0	0
FBgn0052569		0.596583	1.2155	0.765382	0.106256	0.604856	0.570466	0.406491
FBgn0038528		0	0	0	0	0.183402	0	0
FBgn0038529		0	0	0	0	0	0	0
FBgn0022893		1652.98	1676.55	1628.54	2240.73	1455.08	1552.45	1472.05
FBgn0265959		0.0917196	0.0934365	0.040828	0.0283403	0.0297573	0.0643253	0.0180696
FBgn0033312		0	0.0959564	0.0937174	0.0325265	0	0	0.0426177
FBgn0033313		57.9765	57.9092	58.6715	42.2035	31.8737	34.6648	32.9856
FBgn0033315		19.0857	18.4133	17.819	21.5609	23.1964	22.1959	21.6064
FBgn0033316		61.2239	59.6194	60.1742	65.4769	70.2497	68.026	71.9953
FBgn0260741		27.6087	29.8666	27.6166	29.0357	32.097	31.4454	33.841
FBgn0033317		165.282	140.034	165.421	184.49	146.056	149.381	145.038
FBgn0260742		50.1066	44.9897	47.7324	50.319	39.086	42.3024	39.9828
FBgn0260743		143.748	140.638	131.832	160.032	136.635	140.329	138.03
FBgn0260744		47.0725	47.6854	47.3403	60.1698	55.135	59.1295	58.0242
FBgn0260745		40.3129	33.2073	35.3832	31.6479	10.2249	11.958	11.2779
FBgn0260746		13.3351	12.3398	13.871	12.6245	12.2737	12.0158	11.4291
FBgn0037200		33.2471	27.4813	29.8207	30.5232	28.3224	29.0416	28.8457
FBgn0260747		289.808	287.805	289.067	244.284	60.4835	72.8745	67.4572
FBgn0026787		26.1079	30.0048	27.3888	33.1643	21.8347	24.3083	25.7455
FBgn0260748		73.7227	77.9781	78.6328	44.1206	56.229	63.1734	59.6208
FBgn0037202		59.6178	55.5626	56.1386	54.5774	21.9722	26.5871	22.6812
FBgn0260749		45.3488	48.7455	50.0681	64.8321	33.0719	37.8206	34.7746
FBgn0051244		0.702344	0.238497	0.800948	0.055597	0.316481	0.537277	0.496276
FBgn0037203		143.493	142.575	147.686	152.384	126.323	121.957	122.393
FBgn0051245		0.382784	0.487437	0.589308	0.136354	0.0776184	0.146411	0.0869386
FBgn0037204		0.488707	0.316213	0.254866	0.278537	0.352471	0.224309	0
FBgn0037205		22.1117	20.9277	22.3814	23.5598	21.4509	20.3979	21.9287
FBgn0037206		1.33724	1.10158	1.95823	0.97457	0.442328	1.07646	1.0671
FBgn0051248		0.810939	0.708101	0.713409	0.990411	1.0336	0.797592	0.736727
FBgn0037207		80.4286	82.441	82.5141	90.1943	53.0085	56.4241	54.1978
FBgn0003651		0.516874	0.613957	0.672089	0.350679	0.318	0.443654	0.332647
FBgn0051249		52.9952	57.3932	54.767	75.3068	53.9018	57.9183	52.743
FBgn0035970		0	0.114797	0	0	0	0	0
FBgn0003654		79.8055	71.1784	77.5978	80.8465	55.4775	55.9661	50.0463
FBgn0035971		0	0	0	0	0	0	0
FBgn0034191		33.5152	30.7283	34.2174	40.0888	36.9845	37.2431	34.6147
FBgn0003655		294.501	270.02	292.244	321.729	290.277	306.558	303.238
FBgn0003656		75.61	79.0562	79.4381	84.0322	45.58	49.476	49.2202
FBgn0053890		328.04	367.552	397.825	24.0891	500.453	394.474	228.313
FBgn0034194		11.386	10.768	10.7385	12.2265	13.2879	12.6817	12.6666
FBgn0053891		259.574	321.858	314.722	6.4951e-06	386.073	304.525	329.797
FBgn0038070		0.139491	0.378938	0.334056	0.198756	0.11314	0.213414	0.211209
FBgn0035975		1.19629	1.70181	2.31969	1.48304	0.836272	2.33039	1.78548
FBgn0034195		0.135673	0	0	0	0	0.0518932	0
FBgn0053892		328.04	367.552	397.825	24.0891	500.453	394.474	228.313
FBgn0038071		0.258587	0.526854	0.298576	0.414508	0.367041	0.197813	0.352384
FBgn0035976		2.12883	2.33871	2.3612	1.57838	1.47355	1.38077	1.74119
FBgn0034196		0	0	0	0	0	0	0
FBgn0053893		259.574	321.858	314.722	6.4951e-06	386.073	304.525	329.797
FBgn0038072		0.434552	0.413173	0.535205	0.433425	0.540442	0.398907	0.579017
FBgn0035977		0.253484	0.676801	0.293714	0.254457	0.0918885	0.522815	0.355387
FBgn0034197		0	0	0	0	0	0	0
FBgn0053894		328.04	367.552	397.825	24.0891	500.453	394.474	228.313
FBgn0038073		0.0195758	0	0.0200917	0.0136113	0	0	0.0177844
FBgn0035978		143.274	147.945	136.515	171.36	134.721	145.442	141.192
FBgn0034198		2.37567	2.84722	3.15542	3.88281	2.83366	3.20706	2.92
FBgn0053895		259.574	321.858	314.722	6.4951e-06	386.073	304.525	329.797
